DBbook_userID	DBbook_itemID	rate
6873	3201	4
6873	3098	4
6873	4198	4
6873	5950	4
6873	204	4
6873	8010	5
6873	5232	4
6873	7538	4
6873	5231	3
6873	5438	3
6873	2751	2
6873	3090	2
6873	4392	4
6873	1394	2
6873	408	4
6873	1971	3
6873	4410	5
6873	6968	4
6873	6418	4
6873	4110	5
6873	4212	3
6873	5946	5
6873	5229	4
6873	3151	4
6874	2007	3
6874	2923	4
6874	6302	4
6874	3812	4
6874	7783	3
6872	1003	5
6872	1296	5
6872	4598	5
6872	1394	4
6872	1574	5
6872	6971	4
6872	4895	5
6872	5024	5
6872	3343	4
6872	6415	3
6872	6619	4
6872	6416	3
6872	6413	3
6872	6414	3
6872	3924	5
6870	5736	5
6870	3098	3
6870	1572	4
6870	7538	4
6870	7483	3
6870	580	4
6870	4363	3
6870	6772	4
6870	1729	3
6870	3775	3
6870	3051	4
6870	7540	4
6870	7800	3
6870	4155	3
531	2017	4
531	3598	5
531	5300	3
531	7526	5
531	698	3
531	3137	5
531	370	5
531	946	5
531	6320	4
530	4302	5
530	5950	4
530	2561	4
530	4042	4
530	4148	3
530	3999	4
530	7515	5
530	1762	5
530	3844	3
530	450	4
530	7631	3
530	5989	3
530	7541	4
530	2101	2
530	7082	5
530	1266	5
6869	3802	2
6869	5766	2
6869	58	2
6869	1271	2
6869	201	4
6869	1609	2
6869	5161	2
6869	3093	5
6869	1394	2
6869	4002	2
6869	39	2
6869	38	2
6869	4460	2
6869	1661	1
6869	5512	1
6869	7243	5
6869	1379	3
6869	6366	4
2951	2438	5
2951	2742	3
2951	1394	5
2951	6971	4
2951	39	3
2951	4562	5
2951	1390	3
2951	2193	5
2951	2192	5
2951	4072	4
2951	1970	4
2951	7169	4
2951	6490	4
2951	2194	5
2951	2197	5
2951	4611	2
2950	1196	5
2950	5785	3
2950	1273	5
2950	58	3
2950	4683	3
2950	281	4
2950	3387	3
2950	3904	5
2950	7772	4
2950	1970	5
2950	6319	3
2950	3881	4
2950	3416	5
6868	7189	4
6868	2146	5
6868	7573	5
6868	7103	4
6868	4697	3
6868	6512	4
6868	948	4
1821	170	3
1821	6994	4
1821	7072	3
1821	520	5
1821	4340	4
1821	1295	5
1821	7813	4
1821	7534	4
1821	1915	5
1821	7132	3
6867	8059	5
6867	7208	4
6867	123	1
6867	4851	5
6867	1578	5
6866	1602	5
6866	6940	5
6866	1443	4
6866	7505	5
6866	6155	5
1822	735	4
1822	8168	3
1822	946	4
1822	1034	4
1822	5489	4
2952	5736	5
2952	222	5
2952	2120	5
2952	3999	4
2952	7292	4
2952	7794	4
2952	7127	4
2952	7876	5
2952	5041	5
2952	4747	4
2952	3537	4
2952	747	4
2952	365	3
2952	3023	3
2952	2944	4
2952	4625	3
2952	7259	4
2955	1196	4
2955	1273	4
2955	58	4
2955	2932	4
2955	2819	5
2955	3387	5
2955	6950	4
2955	7417	5
2955	39	5
2955	3868	3
2955	4108	3
2955	5842	5
2955	458	4
6865	1263	4
6865	1273	4
6865	4683	5
6865	4774	4
6865	3715	4
6865	859	4
6865	4403	4
6865	4429	4
6865	4543	4
6865	4545	5
6865	3171	3
6865	3938	4
6865	6065	5
6864	5143	5
6864	5330	5
6864	3627	5
6864	802	5
6864	864	5
6864	5087	5
6864	5086	5
6864	110	5
6864	3606	5
6864	4453	4
6864	16	5
6864	20	5
6864	5841	5
6864	6419	5
6864	6459	5
532	7588	4
532	7486	4
532	5128	4
532	4198	4
532	4749	4
532	2064	5
532	5796	3
532	8010	4
532	7125	4
532	3825	4
532	4247	4
532	2814	3
532	6968	4
532	7891	4
532	4039	4
532	2574	2
532	2101	4
532	5945	2
532	5227	3
532	5942	2
532	4155	5
2954	4863	4
2954	7859	4
2954	4869	5
2954	698	4
2954	7284	4
2954	5043	4
2954	4745	3
2954	8095	3
2954	948	3
2954	4616	5
2954	1698	5
2954	4557	4
2954	7623	5
2954	1709	4
2954	6969	4
2954	4813	3
2954	3185	5
2954	1707	4
2954	7068	3
2954	1276	5
1820	1110	4
1820	1627	4
1820	5847	3
1820	2642	3
1820	2641	4
1820	2640	4
1820	8123	4
1820	1390	4
1825	7290	4
1825	1195	5
1825	5050	5
1825	5447	4
1825	1282	5
1825	3275	5
1825	7835	3
1825	370	5
1825	6971	4
1825	5458	4
1825	6678	4
1825	2871	4
1825	4740	5
1825	1791	5
1825	6681	5
1825	7047	3
1825	2522	4
1825	4326	4
